ulpin,compensation_gap_index,compensation_gap_band,compensation_gap_reason,litigation_propensity_score,litigation_propensity_band,litigation_propensity_reason,heir_claim_count,undocumented_claims,contested_claims,share_total_pct,succession_risk_band,succession_reason
27-001-009-170912,60.44,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,70.24,High,Dispute at Under Hearing with 8 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-009-520920,38.17,Medium,Only 5% of the sanctioned award has actually been disbursed,60.48,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-012-918143,23.28,Low,Only 49% of the sanctioned award has actually been disbursed,2.4,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-013-406899,83.44,High,Compensation sanctioned is 53% below the circle-rate benchmark,54.56,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,1,1,88.6,High,Competing heirship claims over the same parcel
27-001-013-421750,44.24,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,46.33,Medium,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-013-521331,22.68,Low,Only 47% of the sanctioned award has actually been disbursed,58.46,Medium,Dispute at Filed with 4 matter(s) on file,2,0,0,100.0,Low,All heirship claims documented
27-001-014-085914,65.57,Medium,Compensation sanctioned is 34% below the circle-rate benchmark,67.91,High,Dispute at Filed with 11 matter(s) on file,2,0,1,89.2,High,Competing heirship claims over the same parcel
27-001-015-405987,35.43,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,60.51,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,1,100.0,High,Competing heirship claims over the same parcel
27-001-016-928452,53.92,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,26.82,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-017-023647,32.76,Low,Compensation is close to the circle-rate benchmark and largely disbursed,42.66,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-017-532116,46.76,Medium,Compensation sanctioned is 36% below the circle-rate benchmark,30.05,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-017-880105,32.98,Low,Only 20% of the sanctioned award has actually been disbursed,37.98,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-001-018-953474,57.62,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,40.67,Medium,Dispute at Filed with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-019-044121,58.74,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,40.3,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-019-123169,49.9,Medium,Only 18% of the sanctioned award has actually been disbursed,44.36,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,3,0,0,92.0,Medium,3 heirs on one parcel — consent risk at award
27-001-019-688441,49.96,Medium,Only 20% of the sanctioned award has actually been disbursed,9.29,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-019-900824,64.7,Medium,Compensation sanctioned is 43% below the circle-rate benchmark,51.2,Medium,Dispute at Filed with 4 matter(s) on file,2,0,0,99.3,Low,All heirship claims documented
27-001-021-201524,74.39,High,Compensation sanctioned is 47% below the circle-rate benchmark,32.17,Low,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-001-021-354655,50.72,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,73.56,High,Dispute at Under Hearing with 5 matter(s) on file,4,1,0,99.2,Medium,1 heir claim(s) without documentary proof — mutation not established
27-001-022-863752,42.86,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,61.29,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,0,85.8,Low,All heirship claims documented
27-001-023-118983,19.0,Low,Compensation is close to the circle-rate benchmark and largely disbursed,48.25,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,2,0,90.8,Medium,2 heir claim(s) without documentary proof — mutation not established
27-001-023-324558,20.96,Low,Compensation is close to the circle-rate benchmark and largely disbursed,43.71,Medium,Dispute at Filed with 2 matter(s) on file,3,0,0,100.0,Medium,3 heirs on one parcel — consent risk at award
27-001-024-213539,42.21,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,63.67,Medium,Dispute at Filed with 5 matter(s) on file,2,0,1,99.8,High,Competing heirship claims over the same parcel
27-001-024-519408,41.8,Medium,Compensation sanctioned is 25% below the circle-rate benchmark,21.46,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-001-641445,34.78,Medium,Only 36% of the sanctioned award has actually been disbursed,40.18,Medium,Dispute at Filed with 2 matter(s) on file,2,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-013-002-146772,43.42,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,70.38,High,A court stay is in force — the acquisition cannot proceed until it is vacated,4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-013-003-437163,61.61,Medium,Compensation sanctioned is 45% below the circle-rate benchmark,65.33,Medium,Dispute at Filed with 5 matter(s) on file,4,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
27-013-003-816162,45.86,Medium,Only 5% of the sanctioned award has actually been disbursed,27.22,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-004-547768,56.34,Medium,Compensation sanctioned is 45% below the circle-rate benchmark,26.28,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-004-846230,49.64,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,52.13,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-006-432571,66.32,High,Compensation sanctioned is 53% below the circle-rate benchmark,31.65,Low,Dispute at Filed with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-007-293988,31.04,Low,Compensation is close to the circle-rate benchmark and largely disbursed,34.17,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-008-093589,72.88,High,Compensation sanctioned is 50% below the circle-rate benchmark,24.53,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-008-236445,42.71,Medium,Only 23% of the sanctioned award has actually been disbursed,32.84,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-008-442347,29.99,Low,Compensation is close to the circle-rate benchmark and largely disbursed,52.49,Medium,Dispute at Under Hearing with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-010-520668,22.95,Low,Only 38% of the sanctioned award has actually been disbursed,72.03,High,Dispute at Filed with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-011-919993,36.81,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,46.98,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-012-943884,53.31,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,60.23,Medium,Dispute at Under Hearing with 4 matter(s) on file,4,1,0,92.5,Medium,1 heir claim(s) without documentary proof — mutation not established
27-013-015-433170,23.26,Low,Compensation is close to the circle-rate benchmark and largely disbursed,45.33,Medium,Dispute at Under Hearing with 3 matter(s) on file,4,2,1,99.5,High,Competing heirship claims over the same parcel
27-013-017-224465,33.91,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,30.72,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-018-313330,31.31,Low,Compensation is close to the circle-rate benchmark and largely disbursed,2.3,Low,"Clear title, no live litigation on record",4,0,1,100.0,High,Competing heirship claims over the same parcel
27-013-020-089628,41.89,Medium,Only 37% of the sanctioned award has actually been disbursed,78.83,High,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,0,100.0,Low,All heirship claims documented
27-013-021-503316,42.09,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,58.41,Medium,Dispute at Under Hearing with 1 matter(s) on file,2,0,2,86.1,High,Competing heirship claims over the same parcel
27-013-022-499024,83.32,High,Compensation sanctioned is 58% below the circle-rate benchmark,63.23,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-023-059045,79.36,High,Compensation sanctioned is 45% below the circle-rate benchmark,42.01,Medium,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-023-243010,41.07,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,50.77,Medium,Dispute at Under Hearing with 4 matter(s) on file,4,1,1,93.2,High,Competing heirship claims over the same parcel
27-013-023-565388,73.19,High,Compensation sanctioned is 50% below the circle-rate benchmark,85.19,High,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-013-023-822545,27.58,Low,Only 48% of the sanctioned award has actually been disbursed,8.48,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-001-660303,19.14,Low,Compensation is close to the circle-rate benchmark and largely disbursed,29.26,Low,Dispute at Under Hearing with 1 matter(s) on file,1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-025-002-719139,55.17,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,51.15,Medium,Dispute at Filed with 3 matter(s) on file,2,1,1,100.0,High,Competing heirship claims over the same parcel
27-025-002-922498,73.52,High,Compensation sanctioned is 38% below the circle-rate benchmark,40.27,Medium,Dispute at Under Hearing with 1 matter(s) on file,1,0,1,100.0,High,Competing heirship claims over the same parcel
27-025-003-817740,44.44,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,16.63,Low,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-006-055986,54.11,Medium,Compensation sanctioned is 44% below the circle-rate benchmark,29.91,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-006-340067,41.84,Medium,Compensation sanctioned is 35% below the circle-rate benchmark,49.06,Medium,Dispute at Under Hearing with 4 matter(s) on file,2,0,0,100.0,Low,All heirship claims documented
27-025-008-576012,32.46,Low,Only 42% of the sanctioned award has actually been disbursed,52.97,Medium,Dispute at Under Hearing with 3 matter(s) on file,4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-025-008-676027,24.26,Low,Compensation is close to the circle-rate benchmark and largely disbursed,36.66,Medium,Dispute at Filed with 2 matter(s) on file,3,0,0,100.0,Medium,3 heirs on one parcel — consent risk at award
27-025-009-655747,41.09,Medium,Only 27% of the sanctioned award has actually been disbursed,34.7,Medium,Dispute at Filed with 2 matter(s) on file,4,2,1,98.4,High,Competing heirship claims over the same parcel
27-025-010-264070,40.7,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,47.43,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-010-633548,71.46,High,Compensation sanctioned is 45% below the circle-rate benchmark,47.41,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-012-427552,25.7,Low,Only 48% of the sanctioned award has actually been disbursed,2.98,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-014-520805,37.09,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,8.7,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-015-665882,43.01,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,26.19,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-016-374850,27.84,Low,Only 40% of the sanctioned award has actually been disbursed,7.26,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-016-963898,59.67,Medium,Compensation sanctioned is 36% below the circle-rate benchmark,7.94,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-017-599201,32.76,Low,Compensation is close to the circle-rate benchmark and largely disbursed,29.62,Low,Dispute at Filed with 2 matter(s) on file,3,1,1,100.0,High,Competing heirship claims over the same parcel
27-025-017-830802,73.62,High,Compensation sanctioned is 33% below the circle-rate benchmark,24.12,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-019-655829,84.44,High,Compensation sanctioned is 57% below the circle-rate benchmark,37.42,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-020-420336,25.72,Low,Compensation is close to the circle-rate benchmark and largely disbursed,8.65,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-021-006424,25.01,Low,Compensation is close to the circle-rate benchmark and largely disbursed,47.79,Medium,Dispute at Filed with 4 matter(s) on file,4,1,1,100.0,High,Competing heirship claims over the same parcel
27-025-022-382533,65.69,Medium,Compensation sanctioned is 49% below the circle-rate benchmark,51.92,Medium,Dispute at Filed with 6 matter(s) on file,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-025-022-646157,41.09,Medium,Only 31% of the sanctioned award has actually been disbursed,33.07,Medium,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-022-944620,58.08,Medium,Compensation sanctioned is 42% below the circle-rate benchmark,44.42,Medium,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-025-024-358473,28.23,Low,Compensation is close to the circle-rate benchmark and largely disbursed,51.79,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-002-254678,22.96,Low,Compensation is close to the circle-rate benchmark and largely disbursed,5.87,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-002-577568,59.07,Medium,Compensation sanctioned is 38% below the circle-rate benchmark,1.74,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-004-566073,23.92,Low,Only 48% of the sanctioned award has actually been disbursed,3.66,Low,"Clear title, no live litigation on record",2,0,1,100.0,High,Competing heirship claims over the same parcel
27-037-005-386916,56.77,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,49.13,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-005-932752,31.1,Low,Compensation is close to the circle-rate benchmark and largely disbursed,22.63,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-006-607466,60.57,Medium,Compensation sanctioned is 47% below the circle-rate benchmark,21.65,Low,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-006-611238,31.52,Low,Compensation is close to the circle-rate benchmark and largely disbursed,64.78,Medium,Dispute at Under Hearing with 4 matter(s) on file,2,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-037-008-686288,46.06,Medium,Only 25% of the sanctioned award has actually been disbursed,33.05,Medium,Dispute at Under Hearing with 2 matter(s) on file,4,0,2,99.7,High,Competing heirship claims over the same parcel
27-037-010-996219,26.66,Low,Compensation is close to the circle-rate benchmark and largely disbursed,9.13,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-013-390322,52.64,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,49.36,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-013-834361,52.78,Medium,Compensation sanctioned is 34% below the circle-rate benchmark,0.0,Low,"Clear title, no live litigation on record",4,0,1,99.9,High,Competing heirship claims over the same parcel
27-037-015-156208,38.78,Medium,Compensation sanctioned is 34% below the circle-rate benchmark,63.73,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-015-638180,27.67,Low,Only 48% of the sanctioned award has actually been disbursed,45.91,Medium,Dispute at Under Hearing with 2 matter(s) on file,4,3,0,100.0,Medium,3 heir claim(s) without documentary proof — mutation not established
27-037-015-915936,67.6,High,Compensation sanctioned is 47% below the circle-rate benchmark,44.2,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-016-583331,39.96,Medium,Only 14% of the sanctioned award has actually been disbursed,8.96,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-017-071976,78.32,High,Compensation sanctioned is 39% below the circle-rate benchmark,19.06,Low,"Clear title, no live litigation on record",1,0,1,100.0,High,Competing heirship claims over the same parcel
27-037-017-162212,30.1,Low,Compensation is close to the circle-rate benchmark and largely disbursed,2.97,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-017-497474,31.22,Low,Only 33% of the sanctioned award has actually been disbursed,70.43,High,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-017-520679,43.26,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,17.65,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-018-096087,16.67,Low,Compensation is close to the circle-rate benchmark and largely disbursed,56.93,Medium,Dispute at Filed with 3 matter(s) on file,4,0,1,100.0,High,Competing heirship claims over the same parcel
27-037-018-273093,38.06,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,60.92,Medium,Dispute at Under Hearing with 1 matter(s) on file,1,1,0,67.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-037-018-505922,42.32,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,21.68,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-019-331655,22.82,Low,Compensation is close to the circle-rate benchmark and largely disbursed,47.25,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-019-629965,21.06,Low,Compensation is close to the circle-rate benchmark and largely disbursed,35.16,Medium,Dispute at Under Hearing with 1 matter(s) on file,4,1,2,97.8,High,Competing heirship claims over the same parcel
27-037-019-721758,69.76,High,Compensation sanctioned is 45% below the circle-rate benchmark,34.95,Medium,Dispute at Under Hearing with 2 matter(s) on file,3,1,0,95.9,Medium,1 heir claim(s) without documentary proof — mutation not established
27-037-023-113282,56.63,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,33.26,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-023-175762,64.94,Medium,Compensation sanctioned is 36% below the circle-rate benchmark,42.47,Medium,Dispute at Under Hearing with 2 matter(s) on file,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
27-037-024-289386,43.37,Medium,Only 38% of the sanctioned award has actually been disbursed,30.76,Low,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
27-037-024-592138,35.55,Medium,Only 45% of the sanctioned award has actually been disbursed,30.64,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-002-158342,21.73,Low,Compensation is close to the circle-rate benchmark and largely disbursed,51.93,Medium,Dispute at Filed with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-004-376370,41.85,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,14.14,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-004-408639,71.84,High,Compensation sanctioned is 39% below the circle-rate benchmark,59.9,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-005-512685,64.61,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,16.01,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-005-788735,27.77,Low,Compensation is close to the circle-rate benchmark and largely disbursed,11.2,Low,"Clear title, no live litigation on record",3,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
29-007-006-208822,58.94,Medium,Compensation sanctioned is 32% below the circle-rate benchmark,32.19,Low,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-007-071762,44.66,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,24.48,Low,Dispute at Filed with 1 matter(s) on file,1,0,0,76.0,Low,All heirship claims documented
29-007-011-687218,27.48,Low,Compensation is close to the circle-rate benchmark and largely disbursed,9.38,Low,"Clear title, no live litigation on record",3,1,1,100.0,High,Competing heirship claims over the same parcel
29-007-013-109732,45.13,Medium,Only 34% of the sanctioned award has actually been disbursed,34.55,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-015-263678,71.69,High,Compensation sanctioned is 54% below the circle-rate benchmark,57.33,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-015-623697,32.38,Low,Only 45% of the sanctioned award has actually been disbursed,30.34,Low,Dispute at Under Hearing with 1 matter(s) on file,2,1,0,89.3,Medium,1 heir claim(s) without documentary proof — mutation not established
29-007-016-587124,54.27,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,17.76,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-017-378427,37.67,Medium,Only 47% of the sanctioned award has actually been disbursed,2.76,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-019-408769,19.66,Low,Compensation is close to the circle-rate benchmark and largely disbursed,4.91,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-020-650428,76.93,High,Compensation sanctioned is 65% below the circle-rate benchmark,48.74,Medium,Dispute at Under Hearing with 1 matter(s) on file,1,0,1,100.0,High,Competing heirship claims over the same parcel
29-007-022-003059,67.49,High,Compensation sanctioned is 47% below the circle-rate benchmark,28.39,Low,Dispute at Filed with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-022-089286,62.31,Medium,Compensation sanctioned is 36% below the circle-rate benchmark,57.69,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-007-024-604207,41.8,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,28.21,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-001-560843,56.27,Medium,Compensation sanctioned is 50% below the circle-rate benchmark,6.8,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-001-727216,30.99,Low,Compensation is close to the circle-rate benchmark and largely disbursed,11.8,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-002-628978,79.02,High,Compensation sanctioned is 50% below the circle-rate benchmark,48.48,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,3,0,96.1,Medium,3 heir claim(s) without documentary proof — mutation not established
29-009-002-673400,62.44,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,61.53,Medium,Dispute at Filed with 7 matter(s) on file,2,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
29-009-003-574868,9.42,Low,Compensation is close to the circle-rate benchmark and largely disbursed,5.37,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-004-318285,44.98,Medium,Only 24% of the sanctioned award has actually been disbursed,49.04,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,1,1,100.0,High,Competing heirship claims over the same parcel
29-009-005-001703,45.0,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,49.69,Medium,Dispute at Under Hearing with 2 matter(s) on file,4,2,1,99.8,High,Competing heirship claims over the same parcel
29-009-005-455315,86.6,High,Compensation sanctioned is 53% below the circle-rate benchmark,44.36,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
29-009-005-707378,34.28,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,22.45,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-005-883341,40.36,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,42.67,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-006-314592,31.6,Low,Only 46% of the sanctioned award has actually been disbursed,32.17,Low,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-006-340166,59.18,Medium,Compensation sanctioned is 52% below the circle-rate benchmark,31.27,Low,Dispute at Filed with 2 matter(s) on file,2,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
29-009-007-703996,45.38,Medium,Only 50% of the sanctioned award has actually been disbursed,56.48,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,3,1,100.0,High,Competing heirship claims over the same parcel
29-009-008-883290,35.64,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,40.42,Medium,Dispute at Filed with 2 matter(s) on file,2,1,0,83.7,Medium,1 heir claim(s) without documentary proof — mutation not established
29-009-009-003611,28.9,Low,Compensation is close to the circle-rate benchmark and largely disbursed,29.36,Low,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-010-091248,23.43,Low,Compensation is close to the circle-rate benchmark and largely disbursed,47.92,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
29-009-010-380524,29.3,Low,Only 50% of the sanctioned award has actually been disbursed,64.75,Medium,Dispute at Under Hearing with 3 matter(s) on file,2,0,0,100.0,Low,All heirship claims documented
29-009-010-464509,51.11,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,43.54,Medium,Dispute at Under Hearing with 1 matter(s) on file,2,0,0,77.9,Low,All heirship claims documented
29-009-010-716020,47.04,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,16.61,Low,Title is partial over fragmented holdings — objection risk at award,2,1,0,93.0,Medium,1 heir claim(s) without documentary proof — mutation not established
